institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
Agnes Scott College,GA,-84.295459,33.769268,Gold,69.09,29.1,0,17.38,8.51,7.4,5,3.46,1.6,6.25,8.78,0,4.05,217100000,100,1248.69,15.3,3.88,9374.17,0.32,40.15,NA,NA,5.29,NA,3,Urban fringe of large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,138600
American University,DC,-77.088875,38.936005,Gold,72.66,26.2,13.68,16.06,11.1,10.4,4.45,6.75,3.02,6.38,8.65,2.33,4.71,7.08E+08,84,12517.25,6.25,56.66,5863.49,0.15,38.62,NA,3.95,0,34.49,4,Large city,Events throughout the year featured local produce local cheeses and Meatless Monday meals.,NA,NA
Amherst College,MA,-72.518493,42.372459,Silver,46.39,14.54,9.87,11.8,6.33,5.1,2.22,2.83,2.69,3.25,8.66,1.1,2.11,2377537246,1020,2505,2.7,0,66.335,0.556,28.52,NA,13,7.58,NA,5,Small town,All of our campus wide events are deliberately low impact. We serve bulk water with compostable cups. All of our disposable paper products are compostable and compost bins are made available at all events.,Yes,164465
Antioch College,OH,-83.888077,39.799806,Silver,50.83,30.22,12,2.25,11.24,0.5,3.28,3.39,4.98,3.5,6.37,0,1.85,9898.97,1065,236.75,18.05,0.75,12316.79,1.31,32.9,NA,61,7.58,NA,5,Small town,The College has a quarterly Community Day where faculty staff and students come together to be in community and enjoy local food cooked by community members and Antioch Kitchens.,Yes,NA
Appalachian State University,NC,-81.680583,36.215536,Gold,73.93,37.33,15,19.25,16.78,6,3.54,4.54,2,7,7.4,2,3.85,98593292,407,16631.25,29.4,0.11,5806.13,0.18,38,16.4,NA,2.53,NA,5,Small town,In 2016-17 Food Services celebrated National Nutrition Month with meatless Monday activities including weekly emails and social media posts to encourage students to “go meatless” on Mondays. https://foodservices.appstate.edu/news/recent/meatless-mondays-national-nutrition-month,Yes,NA
Aquinas College,MI,-85.628785,42.96019,Silver,60.78,32.54,12.19,17.8,12.62,5.24,2.76,4.86,1.93,4.5,4.59,2,1.77,5.20E+07,117,1612.98,20.61,0.08,2461.71,0.1,68.52,21.82,1,3.43,NA,6,Mid-size city,During March we hold nutrition month events highlighting Plant based proteins Meatless Monday fresh and local offerings. We also sponsor and highlight more vegan vegetarian options during 6 weeks of Lent .,Yes,168786
Arizona State University,AZ,-112.07347,33.452914,Platinum,87.1,37.31,17.33,18.87,18.54,11,4.67,6.57,3.9,7.13,7.83,6.5,3.6,978353579.7,1600.52,71645,14.95,50.92,13838.94,0.13,41.74,16.56,12.99,0,37.38,2,Large city,Educational activities utilizing games trivia and more are held relating food to the resource inputs required for the production of plant-based food vs animal proteins. Meatless Monday tablings are held at all eight residential dining halls on all four campuses to promote plant-based dining options.,NA,NA
Auburn University,AL,-85.488258,32.599378,Silver,57.66,25.55,16,15.57,9.3,4.44,2.12,2.46,1.75,4.5,8.07,0,2.64,748430576,1912,23216.5,11.23,0,13203.97,0.23,16.24,17.54,NA,6.58,NA,3,Large town,Tiger Dining partners with the Office of Sustainability to host the Sustainability Picnic each year during Welcome Week.  This zero-waste meal features an all-vegetarian menu curated from almost exclusively locally-grown foods and is available to students staff faculty and the community.  Tiger Dining also features Meatless Monday meal options in its dining halls during October and has other meals that feature Auburn Foods which are locally-grown locally-produced foods.,Yes,NA
Austin College,TX,-96.596331,33.646345,Bronze,30.79,17.61,6.28,5,3.83,7.75,2.5,5.15,1,2.75,1.58,0,0.33,131978357,475,1415.36,11.19,47.4,23193.4,NA,NA,10.42,NA,2.52,NA,3,Mid-size city,NA,No,222983
Babson College,MA,-71.264057,42.297017,Gold,65.28,32.25,16,15.76,10.95,7.15,1.68,3.85,2.25,3,8.65,0,3.65,391463550,361,3737.29,18.7,2.51,10406.48,0.36,25.41,30,4.72,2.64,NA,5,Urban fringe of large city,A Plant-Based Nutrition event engages diners around balanced diets based on plants instead of meat and combines outreach from Sustainability Office interns with Dining Services initiatives.,Yes,NA
Baldwin Wallace University,OH,-81.851145,41.373017,Silver,51.68,21.07,14.45,15.5,11.67,0.5,2.81,3.32,1.38,2.75,7.24,0,2.68,1.65E+08,150,3128,8.31,1.91,NA,0.26,94.2,26.26,0,7.58,NA,4,Small town,NA,No,NA
Ball State University,IN,-85.409043,40.203431,Silver,58.68,17.42,18,11.36,15.38,6.49,3.44,3.69,2.64,8.12,6.91,0.78,2.64,238978380,780,15317.5,4.21,0.11,13692.2,0.25,31.48,20.61,5.78,5.34,20.33,4,Mid-size city,"Yes we host a \Dinner in the Dark\"" that promotes sustainability initiatives within dining and the community. We also host a Chef Station Meatless Monday.""",NA,NA
Bard College,NY,-73.909927,42.020386,Gold,66.69,30.08,13.45,16.81,11.98,6.36,1.63,3.46,2.7,3.88,6.36,2.25,3.03,249312000,930,2570.98,28.87,6.17,14324.67,0.27,34.68,41.03,9,2.6,12,4,Rural,Meatless Mondays / Beefless Mondays.Daily Plant-Forward menu options.Focus on sustainably-sourced seafood.Rooted program featuring vegan main course options.Harvest of the Month.Climate Action Plan outlines meat reduction plan.,NA,189088
Barnard College,NY,-73.963346,40.810098,Silver,54.65,21.36,13.82,10.35,6.67,6.73,1.77,4.24,3.66,3,7.5,0.25,5.65,345100000,4.5,3158,10.59,13.32,12801.68,0.22,27.06,24.29,5.52,1.71,54.8,4,Large city,All special events and samplings in our all-you-care-to-eat facility uses reusable serviceware and utilizes batch cooking to control waste. If it occurs in our retail unit all disposable ware is compostable. We also have a dedicated station known as Fyul which is always a meatless station that educated customers on making lower-impact and plant-forward dining choices. Our catering unit offers vegan and vegetarian only menus on request.,NA,189097
Bates College,ME,-70.203333,44.105299,Gold,72.58,23.92,12.4,20.25,11.09,10.91,3.15,8.38,2.89,5.75,6.16,2.57,3.36,271500000,787,2428.5,11.59,85.83,12626.18,0.22,49.77,15.09,16.14,0,NA,6,Small town,We host acclaimed chefs to come in and demonstrate meatless cooking techniques. We also just completed a month of protein awareness focusing on getting enough protein particularly if you are a vegetarian. We also now host events which are entirely free of disposable dishware. Dining in conjunction with a student group known as CHEWS puts on an event like this every month.,Yes,160977
Belmont University,TN,-86.794807,36.135589,Gold,66.6,27.94,15,19.25,14.56,5.05,1.81,5.16,1.75,3.25,8.7,4,4.84,221028145,75,7682.5,14.26,0,12677.95,0.26,21.18,39.45,NA,4.5,NA,3,Large city,An annual event showcasing various non-animal proteins. Falafel burgers tofu beans etc are some of the examples.,Yes,NA
