"institution"	"location"	"stars_version"	"rating"	"valid_through"	"URL"	"latest_report"
"Arizona State University"	"United States,
              AZ"	2.2	"Platinum"	"March 5, 2023"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/"
"Colorado State University"	"United States,
              CO"	2.1	"Platinum"	"Dec. 5, 2022"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/"
"Cornell University"	"United States,
              NY"	2.2	"Platinum"	"May 6, 2024"	"https://reports.aashe.org/institutions/cornell-university-ny/report/"	"https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/"
"Stanford University"	"United States,
              CA"	2.1	"Platinum"	"Feb. 21, 2022"	"https://reports.aashe.org/institutions/stanford-university-ca/report/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/"
"State University of New York College of Environmental Science and Forestry"	"United States,
              NY"	2.2	"Platinum"	"April 29, 2024"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/2021-03-05/"
"Thompson Rivers University"	"Canada,
              BC"	2.1	"Platinum"	"Nov. 26, 2021"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/"
"University of California, Berkeley"	"United States,
              CA"	2.2	"Platinum"	"April 29, 2024"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/"
"University of California, Irvine"	"United States,
              CA"	2.2	"Platinum"	"Oct. 14, 2024"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/"
"University of Connecticut"	"United States,
              CT"	2.1	"Platinum"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/"
"University of New Hampshire"	"United States,
              NH"	2.2	"Platinum"	"Oct. 21, 2024"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/"
"Université de Sherbrooke"	"Canada,
              QC"	2.1	"Platinum"	"Dec. 5, 2022"	"https://reports.aashe.org/institutions/universite-de-sherbrooke-qc/report/"	"https://reports.aashe.orgNA"
"Agnes Scott College"	"United States,
              GA"	2.2	"Gold"	"July 20, 2024"	"https://reports.aashe.org/institutions/agnes-scott-college-ga/report/"	"https://reports.aashe.org/institutions/agnes-scott-college-ga/report/2021-05-21/"
"American University"	"United States,
              DC"	2.2	"Gold"	"April 18, 2024"	"https://reports.aashe.org/institutions/american-university-dc/report/"	"https://reports.aashe.org/institutions/american-university-dc/report/2021-03-05/"
"Appalachian State University"	"United States,
              NC"	2.1	"Gold"	"April 18, 2022"	"https://reports.aashe.org/institutions/appalachian-state-university-nc/report/"	"https://reports.aashe.org/institutions/appalachian-state-university-nc/report/2019-04-19/"
"Babson College"	"United States,
              MA"	2.1	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/babson-college-ma/report/"	"https://reports.aashe.org/institutions/babson-college-ma/report/2018-03-30/"
"Bard College"	"United States,
              NY"	2.2	"Gold"	"Nov. 20, 2023"	"https://reports.aashe.org/institutions/bard-college-ny/report/"	"https://reports.aashe.org/institutions/bard-college-ny/report/2020-06-08/"
