institution,endowment,area,climate,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,locale,low,monday,budget
Agnes Scott College,217100000,100,3,1248.69,15.3,3.88,9374.17,0.32,40.15,NA,NA,5.29,NA,Urban fringe of large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
American University,7.08E+08,84,4,12517.25,6.25,56.66,5863.49,0.15,38.62,NA,3.95,0,34.49,Large city,Events throughout the year featured local produce local cheeses and Meatless Monday meals. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Amherst College,2377537246,1020,5,2505,2.7,0,66.335,0.556,28.52,NA,13,7.58,NA,Small town,All of our campus wide events are deliberately low impact. We serve bulk water with compostable cups. All of our disposable paper products are compostable and compost bins are made available at all events.  ,Yes,NA
Antioch College,9898.97,1065,5,236.75,18.05,0.75,12316.79,1.31,32.9,NA,61,7.58,NA,Small town,The College has a quarterly Community Day where faculty staff and students come together to be in community and enjoy local food cooked by community members and Antioch Kitchens.,Yes,NA
Appalachian State University,98593292,407,5,16631.25,29.4,0.11,5806.13,0.18,38,16.4,NA,2.53,NA,Small town,In 2016-17 Food Services celebrated National Nutrition Month with meatless Monday activities including weekly emails and social media posts to encourage students to “go meatless” on Mondays. https://foodservices.appstate.edu/news/recent/meatless-mondays-national-nutrition-month,Yes,NA
Aquinas College,5.20E+07,117,6,1612.98,20.61,0.08,2461.71,0.1,68.52,21.82,1,3.43,NA,Mid-size city,During March we hold nutrition month events highlighting Plant based proteins Meatless Monday fresh and local offerings. We also sponsor and highlight more vegan vegetarian options during 6 weeks of Lent .,Yes,NA
Arizona State University,978353579.7,1600.52,2,71645,14.95,50.92,13838.94,0.13,41.74,16.56,12.99,0,37.38,Large city,Educational activities utilizing games trivia and more are held relating food to the resource inputs required for the production of plant-based food vs animal proteins. Meatless Monday tablings are held at all eight residential dining halls on all four campuses to promote plant-based dining options.,NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
Auburn University,748430576,1912,3,23216.5,11.23,0,13203.97,0.23,16.24,17.54,NA,6.58,NA,Large town,Tiger Dining partners with the Office of Sustainability to host the Sustainability Picnic each year during Welcome Week.  This zero-waste meal features an all-vegetarian menu curated from almost exclusively locally-grown foods and is available to students staff faculty and the community.  Tiger Dining also features Meatless Monday meal options in its dining halls during October and has other meals that feature Auburn Foods which are locally-grown locally-produced foods.,Yes,NA
Austin College,131978357,475,3,1415.36,11.19,47.4,23193.4,,NA,10.42,NA,2.52,NA,Mid-size city,,No,NA
Babson College,391463550,361,5,3737.29,18.7,2.51,10406.48,0.36,25.41,30,4.72,2.64,NA,Urban fringe of large city,A Plant-Based Nutrition event engages diners around balanced diets based on plants instead of meat and combines outreach from Sustainability Office interns with Dining Services initiatives. ,Yes,NA
Baldwin Wallace University,1.65E+08,150,4,3128,8.31,1.91,,0.26,94.2,26.26,0,7.58,NA,Small town,,No,NA
Ball State University,238978380,780,4,15317.5,4.21,0.11,13692.2,0.25,31.48,20.61,5.78,5.34,20.33,Mid-size city,"Yes we host a \Dinner in the Dark\"" that promotes sustainability initiatives within dining and the community. We also host a Chef Station Meatless Monday.""",NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Bard College,249312000,930,4,2570.98,28.87,6.17,14324.67,0.27,34.68,41.03,9,2.6,12,Rural,Meatless Mondays / Beefless Mondays.Daily Plant-Forward menu options.Focus on sustainably-sourced seafood.Rooted program featuring vegan main course options.Harvest of the Month.Climate Action Plan outlines meat reduction plan.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Barnard College,345100000,4.5,4,3158,10.59,13.32,12801.68,0.22,27.06,24.29,5.52,1.71,54.8,Large city,All special events and samplings in our all-you-care-to-eat facility uses reusable serviceware and utilizes batch cooking to control waste. If it occurs in our retail unit all disposable ware is compostable. We also have a dedicated station known as Fyul which is always a meatless station that educated customers on making lower-impact and plant-forward dining choices. Our catering unit offers vegan and vegetarian only menus on request.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Bates College,271500000,787,6,2428.5,11.59,85.83,12626.18,0.22,49.77,15.09,16.14,0,NA,Small town,We host acclaimed chefs to come in and demonstrate meatless cooking techniques. We also just completed a month of protein awareness focusing on getting enough protein particularly if you are a vegetarian. We also now host events which are entirely free of disposable dishware. Dining in conjunction with a student group known as CHEWS puts on an event like this every month.,Yes,NA
Belmont University,221028145,75,3,7682.5,14.26,0,12677.95,0.26,21.18,39.45,NA,4.5,NA,Large city,An annual event showcasing various non-animal proteins. Falafel burgers tofu beans etc are some of the examples. ,Yes,NA
Bennington College,0,365,6,1151.5,8.21,83.29,9705.6,0.45,26.73,32.26,12.7,1.09,68,Small town,The Bennington Dining Sevices hold an annual event during lunch time which features sustainable dining. The food offered at the events is raw (salads cheese and fruit plates sandwiches) to reduce oil water and energy use in the Dining Hall Building. In addition to that the minimum amount of light is utilized most of the dining hall lights are off to reduce the electric energy usage.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Bentley University,279725000,160,5,5376.75,13.59,60.04,10896.86,0.25,44.13,14.09,8,1.19,34.68,Urban fringe of large city,Bentley Dining offers Vegan and Vegetarian stations as well as Mindful offerings. Mindful is Sodexo’s health and wellness approach that helps you make healthy choice second nature. We are committed to creating healthy nutritious foods. The result of this initiative is an approach that focuses on transparency of ingredients delicious food satisfying portions and clarity in message so that students can make mindful choices. Mindful offerings meet stringent nutritional criteria based on the Dietary Guidelines for Americans. Each meal part is limited in calories has fewer than 30% of calories as fat fewer than 10% of calories as saturated fat and is restricted in sodium and cholesterol. Student can look for the Mindful icon to indulge in the healthy and delicious items offered at each meal. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Binghamton University,119421943,1464.75,6,16323.9,4.95,23.98,8370.1,0.15,30.33,25.79,1.1,1.91,28.73,Urban fringe of mid-size city,We host a variety of special events and programs that encourage low impact dining.  We established our Meatless Monday program in the Fall of 2013 and continues today.,NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
Black Hills State University,18545520.61,123,6,2078.75,10.47,4.14,4465.66,0.15,30.87,50,0,2.27,28.5,Small town,BHSU hosts various events featuring new plant-based menu options and also do tabling for reducing waste and promoting recycling.,NA,"
      
      
        









  
    $500000 - $999999
  





  
  

  

  


      
    "
Bloomsburg University of Pennsylvania,1.42E+10,299,4,32480.5,5.13,NA,24129.35,0.17,22.75,9.81,61.94,NA,NA,Large city,,NA,NA
