Institution,Location,STARS Version,Rating,Valid Through
Arizona State University,"United States,
              AZ",2.2,Platinum,"March 5, 2023"
Colorado State University,"United States,
              CO",2.1,Platinum,"Dec. 5, 2022"
Cornell University,"United States,
              NY",2.2,Platinum,"May 6, 2024"
Stanford University,"United States,
              CA",2.1,Platinum,"Feb. 21, 2022"
State University of New York College of Environmental Science and Forestry,"United States,
              NY",2.2,Platinum,"April 29, 2024"
Thompson Rivers University,"Canada,
              BC",2.1,Platinum,"Nov. 26, 2021"
"University of California, Berkeley","United States,
              CA",2.2,Platinum,"April 29, 2024"
"University of California, Irvine","United States,
              CA",2.1,Platinum,"Sept. 23, 2021"
University of Connecticut,"United States,
              CT",2.1,Platinum,"March 6, 2023"
University of New Hampshire,"United States,
              NH",2.1,Platinum,"Aug. 25, 2021"
Université de Sherbrooke,"Canada,
              QC",2.1,Platinum,"Dec. 5, 2022"
Agnes Scott College,"United States,
              GA",2.2,Gold,"July 20, 2024"
American University,"United States,
              DC",2.2,Gold,"April 18, 2024"
Appalachian State University,"United States,
              NC",2.1,Gold,"April 18, 2022"
Babson College,"United States,
              MA",2.1,Gold,"Sept. 25, 2021"
Bard College,"United States,
              NY",2.2,Gold,"Nov. 20, 2023"
Bates College,"United States,
              ME",2.1,Gold,"Aug. 25, 2023"
Belmont University,"United States,
              TN",2.1,Gold,"Feb. 25, 2022"
Bennington College,"United States,
              VT",2.2,Gold,"Sept. 22, 2024"
Berea College,"United States,
              KY",2.1,"Gold
                
                    *","Dec. 10, 2020"
Binghamton University,"United States,
              NY",2.2,Gold,"March 5, 2023"
Bowdoin College,"United States,
              ME",2.1,Gold,"Feb. 27, 2022"
Bucknell University,"United States,
              PA",2.1,Gold,"Sept. 22, 2022"
California Polytechnic State University,"United States,
              CA",2.1,Gold,"Sept. 18, 2022"
"California State University, Channel Islands","United States,
              CA",2.2,Gold,"March 6, 2023"
"California State University, Chico","United States,
              CA",2.1,Gold,"Aug. 26, 2021"
"California State University, Northridge","United States,
              CA",2.1,Gold,"Dec. 9, 2021"
"California State University, Sacramento","United States,
              CA",2.2,Gold,"April 22, 2024"
"California State University, San Marcos","United States,
              CA",2.2,Gold,"Feb. 18, 2024"
Carnegie Mellon University,"United States,
              PA",2.1,Gold,"Feb. 6, 2022"
Central Michigan University,"United States,
              MI",2.2,Gold,"Feb. 3, 2024"
Chatham University,"United States,
              PA",2.1,Gold,"Nov. 25, 2021"
Clarkson University,"United States,
              NY",2.1,Gold,"Feb. 21, 2022"
