"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"Arizona State University"	"Platinum"	"March 5, 2023"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/OP/food-dining/OP-8/"
"Colorado State University"	"Platinum"	"Dec. 5, 2022"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/OP/food-dining/OP-8/"
"Cornell University"	"Platinum"	"May 6, 2024"	"https://reports.aashe.org/institutions/cornell-university-ny/report/"	"https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/"	"https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/OP/food-dining/OP-8/"
"Stanford University"	"Platinum"	"Feb. 21, 2022"	"https://reports.aashe.org/institutions/stanford-university-ca/report/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/OP/food-dining/OP-8/"
"State University of New York College of Environmental Science and Forestry"	"Platinum"	"April 29, 2024"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/2021-03-05/"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/2021-03-05/OP/food-dining/OP-8/"
"Thompson Rivers University"	"Platinum"	"Nov. 26, 2021"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/OP/food-dining/OP-8/"
"University of California, Berkeley"	"Platinum"	"April 29, 2024"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/OP/food-dining/OP-8/"
"University of California, Irvine"	"Platinum"	"Oct. 14, 2024"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/OP/food-dining/OP-8/"
"University of Connecticut"	"Platinum"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/OP/food-dining/OP-8/"
"University of New Hampshire"	"Platinum"	"Oct. 21, 2024"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/OP/food-dining/OP-8/"
